Date,Open,High,Low,Close,Adj Close,Volume,Company
2015-11-01,101.0143759,109.8824293,99.77304707,103.5168915,547232800,103.5168915,Meta
2015-12-01,104.1028017,107.1713629,100.7561765,103.9339828,440304100,103.9339828,Meta
2016-01-01,101.2427875,112.0572448,88.7500585,111.4316177,792709100,111.4316177,Meta
2016-02-01,111.4911927,116.7742882,96.14837062,106.1783066,874152500,106.1783066,Meta
2016-03-01,107.0819997,116.1784541,103.6757928,113.3085022,521458900,113.3085022,Meta
2016-04-01,112.9609399,119.9521058,105.5725472,116.7643738,741613800,116.7643738,Meta
2016-05-01,117.0126421,120.2400976,115.0761643,117.9858398,460544200,117.9858398,Meta
2016-06-01,117.6779867,118.6114686,107.4792312,113.4872589,450876100,113.4872589,Meta
2016-07-01,113.4078127,127.4398004,112.1863492,123.0802536,470108600,123.0802536,Meta
2016-08-01,122.9908673,125.8508939,121.2232161,125.2451248,365670900,125.2451248,Meta
2016-09-01,125.5033296,131.0644823,124.7287415,127.3802261,376518100,127.3802261,Meta
2016-10-01,127.4894642,132.5739432,125.8707663,130.0813599,313284400,130.0813599,Meta
2016-11-01,130.4984206,131.0247428,112.7623137,117.598526,644052900,117.598526,Meta
2016-12-01,117.5588173,121.6502403,113.2092032,114.2519226,408728400,114.2519226,Meta
2017-01-01,115.2251191,132.2164306,114.7087296,129.4160004,378958900,129.4160004,Meta
2017-02-01,131.332606,136.2284002,129.3961358,134.5997772,384700500,134.5997772,Meta
2017-03-01,135.5233122,141.9583564,135.1360182,141.0646057,342098600,141.0646057,Meta
2017-04-01,140.9454408,150.4788527,137.8470887,149.2077332,275586300,149.2077332,Meta
2017-05-01,150.687404,152.534502,143.4181747,150.4093475,403586900,150.4093475,Meta
2017-06-01,150.6973258,155.4143755,143.5571997,149.932663,414757100,149.932663,Meta
2017-07-01,150.6675467,174.2726627,146.7747408,168.075943,419907600,168.075943,Meta
2017-08-01,168.6419894,171.8495791,163.8554178,170.7770691,303622800,170.7770691,Meta
